epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14476.9,0.95881,0.81361,1.08196,0.70762,0.77712,0.82449,0.5128,1.25907,1.15842,1.2555,0.000359409,0.000359409,0.000359409
43,14821.2,0.97173,0.78298,1.08043,0.78297,0.83615,0.86203,0.53828,1.25873,0.91423,1.24317,0.000341077,0.000341077,0.000341077
44,15165.3,0.92832,0.77195,1.07449,0.68262,0.7843,0.84698,0.53414,1.25201,1.01255,1.24705,0.000322745,0.000322745,0.000322745
45,15508,0.94416,0.77491,1.07377,0.71096,0.77987,0.80578,0.49774,1.25853,1.07452,1.24074,0.000304414,0.000304414,0.000304414
46,15850.2,0.95076,0.75178,1.08479,0.72469,0.80597,0.83646,0.52584,1.28027,0.9993,1.27157,0.000286083,0.000286083,0.000286083
47,16193.5,0.91341,0.74521,1.07182,0.72092,0.8156,0.87086,0.547,1.25355,1.03948,1.2837,0.000267751,0.000267751,0.000267751
48,16537.4,0.89061,0.72573,1.06721,0.75521,0.83911,0.86693,0.5462,1.22692,0.98513,1.26156,0.00024942,0.00024942,0.00024942
49,16878.6,0.91853,0.71796,1.06534,0.73625,0.86032,0.86942,0.54603,1.23623,0.88833,1.24777,0.000231088,0.000231088,0.000231088
50,17223.5,0.91227,0.72728,1.06503,0.71067,0.84902,0.8685,0.53195,1.2523,1.03074,1.27643,0.000212757,0.000212757,0.000212757
51,17565.4,0.84965,0.62777,1.03283,0.74635,0.85945,0.8948,0.55707,1.23806,0.89619,1.26533,0.000194425,0.000194425,0.000194425
52,17905.1,0.84129,0.57139,1.03346,0.69293,0.81061,0.89591,0.56485,1.24949,1.01725,1.2778,0.000176094,0.000176094,0.000176094
53,18245.9,0.82195,0.55719,1.03051,0.74039,0.83791,0.90988,0.58047,1.25375,0.90588,1.27739,0.000157762,0.000157762,0.000157762
54,18586.1,0.81561,0.54334,1.0242,0.7829,0.8287,0.88841,0.55762,1.22598,0.88608,1.24691,0.000139431,0.000139431,0.000139431
55,18925.6,0.78208,0.53567,1.0098,0.74296,0.82598,0.8925,0.55635,1.22433,0.91066,1.24581,0.000121099,0.000121099,0.000121099
56,19266.8,0.78891,0.54393,1.00872,0.79661,0.80084,0.88125,0.55075,1.23882,0.90117,1.25598,0.000102768,0.000102768,0.000102768
57,19607.1,0.77537,0.51945,0.99632,0.80639,0.80613,0.89686,0.56067,1.23476,0.88419,1.2446,8.4436e-05,8.4436e-05,8.4436e-05
58,19948.4,0.76055,0.52102,1.00108,0.76342,0.82202,0.87427,0.54969,1.21981,0.98767,1.25281,6.61045e-05,6.61045e-05,6.61045e-05
59,20289.3,0.75036,0.49926,0.99304,0.71679,0.81758,0.88194,0.56894,1.23568,0.96223,1.24996,4.7773e-05,4.7773e-05,4.7773e-05
60,20628.7,0.74357,0.50021,0.9921,0.71152,0.84452,0.89553,0.57136,1.23781,0.96382,1.26359,2.94415e-05,2.94415e-05,2.94415e-05
