epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6997.94,1.04242,0.64964,1.13668,0.84265,0.84689,0.8808,0.54372,1.33148,0.74906,1.23871,0.000990365,0.000990365,0.000990365
43,7153.55,1.04477,0.67924,1.15187,0.85245,0.82745,0.90111,0.51698,1.44303,0.78529,1.31844,0.000973861,0.000973861,0.000973861
44,7308.09,1.02288,0.663,1.11997,0.87339,0.88029,0.9302,0.56724,1.3468,0.7269,1.22514,0.000957358,0.000957358,0.000957358
45,7465.83,1.0612,0.66906,1.14825,0.82734,0.85122,0.90681,0.56034,1.31259,0.80212,1.21755,0.000940855,0.000940855,0.000940855
46,7620.68,1.04361,0.65828,1.11862,0.84933,0.88287,0.92923,0.54481,1.42243,0.7455,1.2982,0.000924352,0.000924352,0.000924352
47,7777.34,1.02491,0.62928,1.12057,0.86378,0.84663,0.91753,0.54708,1.37097,0.82329,1.2746,0.000907848,0.000907848,0.000907848
48,7932.32,1.00988,0.62329,1.1063,0.86003,0.90034,0.93323,0.5742,1.33619,0.71308,1.24874,0.000891345,0.000891345,0.000891345
49,8092.3,1.01054,0.59676,1.11714,0.86233,0.89117,0.93335,0.56842,1.35366,0.70192,1.26945,0.000874842,0.000874842,0.000874842
50,8246.38,1.00592,0.61011,1.11742,0.86225,0.80461,0.92365,0.55777,1.36638,0.7772,1.2441,0.000858338,0.000858338,0.000858338
51,8400.01,0.97456,0.58126,1.10224,0.89064,0.921,0.93926,0.57268,1.36135,0.66507,1.26894,0.000841835,0.000841835,0.000841835
52,8557.43,0.97762,0.58371,1.09676,0.91886,0.90252,0.95242,0.58124,1.33917,0.66333,1.25135,0.000825332,0.000825332,0.000825332
53,8711.35,0.98882,0.59992,1.10583,0.84859,0.84125,0.91823,0.55462,1.36109,0.76546,1.27801,0.000808828,0.000808828,0.000808828
54,8868.19,0.9844,0.59767,1.1064,0.85105,0.91853,0.93845,0.57542,1.37616,0.68821,1.27827,0.000792325,0.000792325,0.000792325
55,9022.17,0.98086,0.57346,1.09252,0.83551,0.85712,0.90297,0.5371,1.35806,0.74373,1.26262,0.000775822,0.000775822,0.000775822
56,9203.55,0.95352,0.57121,1.08613,0.86364,0.89622,0.92487,0.52755,1.4361,0.71305,1.30987,0.000759318,0.000759318,0.000759318
57,9481.5,0.94492,0.57256,1.08977,0.78752,0.85289,0.88431,0.51395,1.45652,0.87498,1.29548,0.000742815,0.000742815,0.000742815
58,9712.61,0.92111,0.56113,1.06211,0.78966,0.89033,0.90228,0.54862,1.38133,0.78764,1.26011,0.000726312,0.000726312,0.000726312
59,9970.1,0.94856,0.58302,1.09394,0.84937,0.88987,0.91711,0.53843,1.44167,0.69537,1.30347,0.000709809,0.000709809,0.000709809
60,10208.8,0.92448,0.55674,1.07381,0.78233,0.90594,0.91863,0.54724,1.41034,0.76177,1.2767,0.000693305,0.000693305,0.000693305
61,10443.2,0.89263,0.5538,1.06767,0.84691,0.84722,0.91204,0.55819,1.38597,0.71836,1.27359,0.000676802,0.000676802,0.000676802
62,10679.6,0.91914,0.53815,1.07462,0.90054,0.90321,0.9432,0.55913,1.38323,0.63381,1.26133,0.000660299,0.000660299,0.000660299
63,10912.7,0.93002,0.54419,1.07463,0.79961,0.9323,0.93001,0.57639,1.35937,0.70773,1.25114,0.000643795,0.000643795,0.000643795
64,11145.2,0.90499,0.52097,1.06234,0.86805,0.85683,0.92074,0.55215,1.37554,0.68689,1.26754,0.000627292,0.000627292,0.000627292
65,11384.3,0.89124,0.52319,1.06003,0.87115,0.88735,0.93486,0.56815,1.3663,0.6789,1.25577,0.000610789,0.000610789,0.000610789
66,11611.3,0.86053,0.50693,1.06029,0.74339,0.88142,0.88431,0.51877,1.41052,0.89579,1.30021,0.000594286,0.000594286,0.000594286
67,11819.7,0.90545,0.52586,1.0635,0.82563,0.8585,0.87366,0.47165,1.54553,0.85053,1.38219,0.000577782,0.000577782,0.000577782
68,12002.3,0.88952,0.51607,1.06049,0.88591,0.8857,0.9387,0.56373,1.36531,0.69109,1.26855,0.000561279,0.000561279,0.000561279
69,12164.7,0.87492,0.50714,1.05881,0.88751,0.85786,0.93464,0.56398,1.37215,0.67635,1.26455,0.000544776,0.000544776,0.000544776
70,12346.7,0.8608,0.50399,1.04743,0.8464,0.93442,0.93846,0.55569,1.38031,0.66164,1.27231,0.000528272,0.000528272,0.000528272
71,12511.8,0.87229,0.5069,1.04167,0.90234,0.85321,0.92127,0.52965,1.46406,0.72538,1.33789,0.000511769,0.000511769,0.000511769
72,12667.8,0.84749,0.49699,1.03148,0.77276,0.93069,0.9212,0.53525,1.41422,0.72429,1.30298,0.000495266,0.000495266,0.000495266
73,12820.8,0.83306,0.48092,1.04025,0.86741,0.85248,0.92544,0.54456,1.40539,0.7462,1.30141,0.000478762,0.000478762,0.000478762
74,12974.1,0.83354,0.50551,1.03384,0.83756,0.86259,0.92448,0.54576,1.40634,0.76521,1.28582,0.000462259,0.000462259,0.000462259
75,13132.5,0.82703,0.48189,1.03136,0.86654,0.86335,0.93934,0.55272,1.39878,0.73519,1.27777,0.000445756,0.000445756,0.000445756
76,13285,0.81004,0.46059,1.01259,0.89334,0.87252,0.9411,0.5699,1.38504,0.67394,1.2983,0.000429253,0.000429253,0.000429253
77,13439.6,0.79401,0.46201,1.02118,0.8713,0.89308,0.93818,0.57395,1.33396,0.69915,1.26939,0.000412749,0.000412749,0.000412749
78,13595.9,0.81902,0.48018,1.02589,0.88219,0.84669,0.92934,0.55329,1.4121,0.70834,1.32445,0.000396246,0.000396246,0.000396246
79,13748.5,0.7717,0.46185,1.01606,0.84876,0.92125,0.94384,0.54143,1.46851,0.68784,1.36823,0.000379743,0.000379743,0.000379743
80,13901.3,0.79276,0.46062,1.01618,0.88676,0.89307,0.94957,0.55669,1.40712,0.67285,1.33732,0.000363239,0.000363239,0.000363239
81,14057.4,0.77877,0.46472,1.02001,0.83875,0.91315,0.92672,0.54798,1.39281,0.69079,1.32216,0.000346736,0.000346736,0.000346736
82,14209.7,0.79185,0.45807,1.02087,0.84297,0.84184,0.89952,0.54137,1.36561,0.79826,1.30349,0.000330233,0.000330233,0.000330233
83,14363.7,0.75969,0.44664,1.00183,0.84662,0.86693,0.92499,0.55698,1.38308,0.71555,1.30434,0.000313729,0.000313729,0.000313729
84,14519.5,0.76907,0.43714,1.00537,0.85238,0.94126,0.94999,0.58056,1.36531,0.63614,1.29656,0.000297226,0.000297226,0.000297226
85,14672.3,0.74244,0.42748,1.00069,0.91171,0.89243,0.94735,0.57061,1.38396,0.6185,1.31176,0.000280723,0.000280723,0.000280723
86,14827.7,0.74121,0.42967,1.00427,0.90044,0.90873,0.94511,0.56993,1.37369,0.61845,1.31319,0.00026422,0.00026422,0.00026422
87,14984.6,0.75566,0.43906,1.00207,0.86008,0.91853,0.93447,0.56318,1.40042,0.64339,1.33372,0.000247716,0.000247716,0.000247716
88,15137.5,0.71596,0.42894,0.99109,0.91059,0.88018,0.9471,0.57008,1.4143,0.66158,1.34758,0.000231213,0.000231213,0.000231213
89,15292.8,0.71528,0.41397,0.98334,0.82845,0.92447,0.93969,0.57608,1.35883,0.69371,1.31367,0.00021471,0.00021471,0.00021471
90,15446.2,0.72676,0.42582,0.99199,0.82465,0.8857,0.92922,0.55885,1.39764,0.7371,1.33421,0.000198206,0.000198206,0.000198206
91,15600.4,0.6923,0.3587,0.96793,0.91324,0.86242,0.9441,0.55733,1.37969,0.65986,1.31016,0.000181703,0.000181703,0.000181703
92,15752.1,0.65396,0.32948,0.95796,0.86999,0.90835,0.94343,0.56093,1.37896,0.66871,1.30952,0.0001652,0.0001652,0.0001652
93,15903.6,0.66226,0.33079,0.94526,0.86034,0.87995,0.93158,0.54997,1.40362,0.70691,1.33699,0.000148696,0.000148696,0.000148696
94,16057.7,0.63685,0.32641,0.9294,0.85562,0.89406,0.93212,0.55742,1.36356,0.69087,1.3148,0.000132193,0.000132193,0.000132193
95,16208.7,0.63614,0.32421,0.94349,0.90308,0.87973,0.94199,0.5625,1.37692,0.66665,1.32936,0.00011569,0.00011569,0.00011569
96,16361.9,0.61775,0.31948,0.93234,0.89844,0.86943,0.9378,0.55034,1.40204,0.68199,1.35778,9.91865e-05,9.91865e-05,9.91865e-05
97,16516.6,0.62629,0.31497,0.93908,0.85374,0.91454,0.93931,0.5595,1.3873,0.67725,1.34341,8.26832e-05,8.26832e-05,8.26832e-05
98,16667.9,0.60924,0.30919,0.93702,0.89856,0.86775,0.94066,0.5538,1.40871,0.6782,1.35729,6.61799e-05,6.61799e-05,6.61799e-05
99,16870.4,0.60099,0.30688,0.92353,0.89931,0.87676,0.94031,0.55136,1.3994,0.67929,1.35263,4.96766e-05,4.96766e-05,4.96766e-05
100,17055.4,0.60529,0.30263,0.93185,0.88797,0.87703,0.94065,0.5526,1.39241,0.68272,1.34763,3.31733e-05,3.31733e-05,3.31733e-05
